date,game,T1,Draw,T2
2025-12-24,Burkina Faso vs Equatorial Guinea,0.356,0.307,0.336
2025-12-24,Cameroon vs Gabon,0.487,0.291,0.221
2025-12-24,Ivory Coast vs Mozambique,0.493,0.29,0.217
2025-12-26,Angola vs Zimbabwe,0.507,0.287,0.206
2025-12-26,Comoros vs Zambia,0.355,0.307,0.337
2025-12-26,Egypt vs South Africa,0.423,0.303,0.274
2025-12-26,Morocco vs Mali,0.687,0.215,0.098
2025-12-27,Benin vs Botswana,0.42,0.303,0.277
2025-12-27,DR Congo vs Senegal,0.165,0.271,0.565
2025-12-27,Nigeria vs Tunisia,0.29,0.304,0.406
2025-12-27,Tanzania vs Uganda,0.362,0.307,0.331
2025-12-28,Algeria vs Burkina Faso,0.586,0.264,0.15
2025-12-28,Cameroon vs Ivory Coast,0.344,0.307,0.349
2025-12-28,Equatorial Guinea vs Sudan,0.457,0.297,0.245
2025-12-28,Gabon vs Mozambique,0.35,0.307,0.343
2025-12-29,Angola vs Egypt,0.212,0.289,0.499
2025-12-29,Comoros vs Mali,0.158,0.268,0.574
2025-12-29,Morocco vs Zambia,0.835,0.134,0.031
2025-12-29,South Africa vs Zimbabwe,0.58,0.266,0.154
2025-12-30,Benin vs Senegal,0.076,0.207,0.717
2025-12-30,Botswana vs DR Congo,0.143,0.26,0.597
2025-12-30,Nigeria vs Uganda,0.541,0.278,0.181
2025-12-30,Tanzania vs Tunisia,0.152,0.265,0.583
2025-12-31,Algeria vs Equatorial Guinea,0.596,0.26,0.144
2025-12-31,Burkina Faso vs Sudan,0.468,0.296,0.237
2025-12-31,Cameroon vs Mozambique,0.491,0.291,0.218
2025-12-31,Gabon vs Ivory Coast,0.219,0.291,0.49
2026-03-26,Gibraltar vs Latvia,0.219,0.276,0.505
2026-03-26,Malta vs Luxembourg,0.251,0.284,0.465
2026-03-31,Afghanistan vs Syria,0.063,0.192,0.745
2026-03-31,Bhutan vs Brunei,0.446,0.286,0.267
2026-03-31,India vs Hong Kong,0.508,0.275,0.217
2026-03-31,Lebanon vs Yemen,0.613,0.254,0.133
2026-03-31,Maldives vs East Timor,0.708,0.205,0.087
2026-03-31,Myanmar vs Pakistan,0.611,0.246,0.144
2026-03-31,Nepal vs Laos,0.742,0.188,0.07
2026-03-31,Singapore vs Bangladesh,0.632,0.238,0.13
2026-03-31,Taiwan vs Sri Lanka,0.675,0.22,0.104
2026-03-31,Tajikistan vs Philippines,0.655,0.229,0.116
2026-03-31,Thailand vs Turkmenistan,0.662,0.226,0.112
2026-03-31,Vietnam vs Malaysia,0.592,0.252,0.156
2026-03-31,Latvia vs Gibraltar,0.724,0.198,0.078
2026-03-31,Luxembourg vs Malta,0.695,0.212,0.094
